"Product SKU","Product Name","Description","Category"
"K-237","3 Pieces Canoleo Biscuit Cup","<h3>3 Pieces Canoleo Biscuit Cup</h3>
<hr>
<p>Packing Details<br>
1x3 pc. / box / 210 gms. <br>
1x3 pc. x 12 / carton
</p>
<p>Three Pieces dark edible dark biscuit cups</p>","Spoon, Plates and Cups"
"K-236","3 Pieces Edible Biscuit Cup","<h3>3 Pieces Edible Biscuit Cup</h3>
<hr>
<p>Packing Details<br>
1x3 pc. / box / 210 gms. <br>
1x3 pc. x 12 / carton
</p>
<p>Three Pieces plain edible biscuit cups</p>","Spoon, Plates and Cups"
"K-235","1 Piece Digestive Biscuit Cup","<h3>1 Piece Digestive Biscuit Cup</h3>
<hr>
<p>Packing Details<br>
1x1 pc. / box / 70 gms. <br>
1x1 pc. x 12 / carton
</p>
<p>Bran edible biscuit cup coated with white chocolate</p>","Spoon, Plates and Cups"
"K-234","1 Piece Canoleo Biscuit Cup","<h3>1 Piece Canoleo Biscuit Cup</h3>
<hr>
<p>Packing Details<br>
1x1 pc. / box / 70 gms. <br>
1x1 pc. x 12 / carton
</p>
<p>Dark edible biscuit cup coated with white chocolate</p>","Spoon, Plates and Cups"
"K-233","1 Piece Plain Biscuit Cup","<h3>1 Piece Plain Biscuit Cup</h3>
<hr>
<p>Packing Details<br>
1x1 pc. / box / 70 gms. <br>
1x1 pc. x 12 / carton
</p>
<p>Plain edible biscuit cup coated with white chocolate</p>","Spoon, Plates and Cups"
"K-240","3 Pieces Coffee Cones","<h3>3 Pieces Coffee Cups</h3>
<hr>
<p>Packing Details<br>
1x6 pcs. / can / 100 gms. <br>
1x6 pcs. x 32 / carton
</p>
<p>Plain coffee cup cones coated with white chocolate</p>","Spoon, Plates and Cups"
"K-239","3 PIeces Black Coffee Cups","<h3>3 PIeces Black Coffee Cups</h3>
<hr>
<p>Packing Details<br>
1x6 pcs. / can / 100 gms. <br>
1x6 pcs. x 32 / carton
</p>
<p>Dark coffee cup cones coated with white chocolate</p>","Spoon, Plates and Cups"
"K-036","Coffee Cones","<h3>Coffee Cones</h3>
<hr>
<p>Packing Details<br>
1x12 pcs. / can / 200 gms. <br>
1x12 pcs. x 16 / carton
</p>
<p>Plain coffee cup cones coated with chocolate</p>","Spoon, Plates and Cups"
"K-202","Black Coffee Cups","<h3>Black Coffee Cups</h3>
<hr>
<p>Packing Details<br>
1x40 gms. / can <br>
1x40 gms. x 32 / carton
</p>
<p>Dark coffee cup cones coated with white chocolate</p>","Spoon, Plates and Cups"
"K-124","Biscuit Plates","<h3>Biscuit Plates</h3>
<hr>
<p>Packing Details<br>
1x80 gms. / can <br>
1x80 gms. x 32 / carton
</p>
<p>Mini plate biscuits for ice cream & sweets</p>","Spoon, Plates and Cups"
"K-200","Chocolate Spoon Biscuits","<h3>Chcoclate Spoon Biscuits</h3>
<hr>
<p>Packing Details<br>
1x40 gms. / can <br>
1x40 gms. x 32 / carton
</p>
<p>Mini Chocolate coated Spoon Biscuits</p>","Spoon, Plates and Cups"
"K-125","Spoon Biscuits","<h3>Spoon Biscuits</h3>
<hr>
<p>Packing Details<br>
1x40 gms. / can <br>
1x40 gms. x 32 / carton
</p>
<p>Mini Spoon Biscuits</p>","Spoon, Plates and Cups"
"K-020","Crêpes Dentelle","<h3>Crêpes Dentelle</h3>
<hr>
<p>Packing Details<br>
1x130 gms. / can <br>
1x130 gms. x 32 / carton
</p>
<p>Crispy crêpe biscuits</p>","Wafer Rolls"
"K-107","Crepes","<h3>Crepe</h3>
<hr>
<p>Packing Details<br>
1x130 gms. / can <br>
1x130 gms. x 16 / carton
</p>
<p>Hazelnut cream filled crepe</p>","Wafer Rolls"
"K-150","Plain Wafer Sticks","<h3>Plain Wafer Sticks</h3>
<hr>
<p>Packing Details<br>
1x130 gms. / can <br>
1x130 gms. x 16 / carton
</p>
<p>Plain Wafer Rolls</p>","Wafer Rolls"
"K-191","Cappucino Wafer Rolls","<h3>Cappucino Wafer Rolls</h3>
<hr>
<p>Packing Details<br>
1x130 gms. / can <br>
1x130 gms. x 32 / carton
</p>
<p>Wafer rolls filled with premium cappucino spread</p>","Wafer Rolls"
"K-192","Mocha Wafer Rolls","<h3>Mocha Wafer Rolls</h3>
<hr>
<p>Packing Details<br>
1x130 gms. / can <br>
1x130 gms. x 32 / carton
</p>
<p>Wafer rolls filled with premium mocha spread</p>","Wafer Rolls"
"K-190","Hazelnut Wafer Rolls","<h3>Hazelnut Wafer Rolls</h3>
<hr>
<p>Packing Details<br>
1x130 gms. / can <br>
1x130 gms. x 32 / carton
</p>
<p>Wafer rolls filled with premium hazelnut spread</p>","Wafer Rolls"
"K-189","Coconut Wafer Rolls","<h3>Coconut Wafer Rolls</h3>
<hr>
<p>Packing Details<br>
1x130 gms. / can <br>
1x130 gms. x 32 / carton
</p>
<p>Wafer rolls filled with premium coconut spread</p>","Wafer Rolls"
"K-188","Chocolate Wafer Rolls","<h3>Chocolate Wafer Rolls</h3>
<hr>
<p>Packing Details<br>
1x130 gms. / can <br>
1x130 gms. x 32 / carton
</p>
<p>Wafer rolls filled with premium chocolate spread</p>","Wafer Rolls"
"K-232","Klejah Digestive Biscuits","<h3>Klejah Digestive Biscuits</h3>
<hr>
<p>Packing Details<br>
1x140 gms. / can <br>
1x140 gms. x 32 / carton
</p>","Klejah Biscuits"
"K-059","Klejah Cinammon Biscuits","<h3>Klejah Cinammon Biscuits</h3>
<hr>
<p>Packing Details<br>
1x140 gms. / can <br>
1x140 gms. x 32 / carton
</p>","Klejah Biscuits"
"K-060","Klejah Ginger Biscuits","<h3>Klejah Ginger Biscuits</h3>
<hr>
<p>Packing Details<br>
1x140 gms. / can <br>
1x140 gms. x 32 / carton
</p>","Klejah Biscuits"
"K-058","Klejah Cardamom Biscuits","<h3>Klejah Cardamom Biscuits</h3>
<hr>
<p>Packing Details<br>
1x140 gms. / can <br>
1x140 gms. x 32 / carton
</p>","Klejah Biscuits"
"K-094","Klejah Burr Biscuits","<h3>Klejah Burr Biscuits</h3>
<hr>
<p>Packing Details<br>
1x140 gms. / can <br>
1x140 gms. x 32 / carton
</p>","Klejah Biscuits"
"K-057","Klejah Bran Biscuits","<h3>Klejah Bran Biscuits</h3>
<hr>
<p>Packing Details<br>
1x140 gms. / can <br>
1x140 gms. x 32 / carton
</p>","Klejah Biscuits"
"K-130","Heart Cone","<h3>Heart Cone</h3>
<hr>
<p>Packing Details<br>
1x100 gms. / tube | 100 gms. <br>
1x100 gms. x 32 / carton
</p>","Ice Cream Biscuits"
"K-015","Mini Diet Cut Cones","<h3>Diet Ice Cream Cups</h3>
<hr>
<p>Packing Details<br>
1x60cs. / box <br>
1x60pcs. x 20 / carton
</p>","Ice Cream Biscuits"
"K-014","Mini Cut Cones","<h3>Mini Cut Cones</h3>
<hr>
<p>Packing Details<br>
1x60pcs. / box <br>
1x60pcs. x 20 / carton
</p>","Ice Cream Biscuits"
"K-013","Circle Cone","<h3>Circle Cone</h3>
<hr>
<p>Packing Details<br>
1x10pcs. / box  <br>
1x10pcs. x 20 / carton
</p>","Ice Cream Biscuits"
"K-011","Banana Split Cone","<h3>Banana Split Cone</h3>
<hr>
<p>Packing Details<br>
1x10pcs. / box <br>
1x10pcs. x 20 / carton
</p>","Ice Cream Biscuits"
"K-010","Diet Ice Cream Cups","<h3>Diet Ice Cream Cups</h3>
<hr>
<p>Packing Details<br>
1x15pcs. / box / 71 gms. <br>
1x15pcs. x 20 / carton
</p>","Ice Cream Biscuits"
"K-009","Mini Sugar Cones","<h3>Mini Sugar Cones</h3>
<hr>
<p>Packing Details<br>
1x60pcs. / box / 220 gms. <br>
1x60pcs. x 20 / carton
</p>","Ice Cream Biscuits"
"K-008","Sugar Bowls","<h3>Sugar Bowls</h3>
<hr>
<p>Packing Details<br>
1x12pcs. / box / 259 gms. <br>
1x12pcs. x 20 / carton
</p>","Ice Cream Biscuits"
"K-007","Sugar Sticks","<h3>Sugar Sticks</h3>
<hr>
<p>Packing Details<br>
1x12pcs. / box / 153 gms. <br>
1x12pcs. x 20 / carton
</p>","Ice Cream Biscuits"
"K-006","Regular Mini Cones","<h3>Regular Mini Cones</h3>
<hr>
<p>Packing Details<br>
1x100pcs. / box / 98 gms. <br>
1x100pcs. x 20 / carton
</p>","Ice Cream Biscuits"
"K-004","Big Biscuit Cones","<h3>Big Biscuit Cones</h3>
<hr>
<p>Packing Details<br>
1x12pcs. / box / 172 gms. <br>
1x12pcs. x 20 / carton
</p>","Ice Cream Biscuits"
"K-003","Biscuit Cones","<h3>Biscuit Cones</h3>
<hr>
<p>Packing Details<br>
1x32pcs. / box / 105 gms. <br>
1x32pcs. x 20 / carton
</p>","Ice Cream Biscuits"
"K-002","Ice Cream Cups","<h3>Ice Cream Cups</h3>
<hr>
<p>Packing Details<br>
1x21pcs. / box / 87 gms. <br>
1x21pcs. x 20 / carton
</p>","Ice Cream Biscuits"
"K-001","Sugar Cones","<a href=""http://staging.kanolli.com/wp-content/uploads/2015/12/SUGAR-Cones.jpg"" rel=""attachment wp-att-221""><img src=""http://staging.kanolli.com/wp-content/uploads/2015/12/SUGAR-Cones-197x300.jpg"" alt=""SUGAR Cones"" width=""197"" height=""300"" class=""alignnone size-medium wp-image-221"" /></a><br>
<h3>Sugar Cones</h3>
<hr>
<p>Packing Details<br>
1x12pcs. / box / 172 gms. <br>
1x12pcs. x 20 / carton
</p>","Ice Cream Biscuits"
